0,1,2
0,3,1
0,4,15
0,10,2
0,16,4
0,23,5
0,25,6
0,27,1
0,30,3
0,31,8
0,36,3
0,38,15
0,40,6
0,41,1
0,42,1
0,43,1
0,50,2
0,51,1
0,52,3
0,56,1
0,57,1
0,58,1
0,69,1
0,72,1
0,77,1
0,79,1
0,80,2
0,81,3
0,82,3
0,84,1
0,87,4
0,94,1
0,95,4
0,102,4
0,105,1
0,107,1
0,110,1
0,112,2
0,114,3
0,115,2
0,118,1
0,120,1
0,123,2
0,124,5
0,126,4
0,127,2
0,134,1
0,136,23
0,144,2
0,149,1
0,150,1
0,152,2
0,153,1
0,155,1
0,156,1
0,158,1
0,159,1
0,161,1
0,168,2
0,169,1
0,172,1
0,174,5
0,178,5
0,179,1
0,183,3
0,184,1
0,187,1
0,188,2
0,196,1
0,197,12
0,198,1
1,4,3
1,8,1
1,9,1
1,10,1
1,25,3
1,30,1
1,31,12
1,38,3
1,44,1
1,52,6
1,54,1
1,58,1
1,59,4
1,64,3
1,68,1
1,71,1
1,73,1
1,75,1
1,80,2
1,81,1
1,88,1
1,89,2
1,94,1
1,97,1
1,102,1
1,107,1
1,112,2
1,113,1
1,114,1
1,115,1
1,124,3
1,127,2
1,133,1
1,135,1
1,136,16
1,140,1
1,142,1
1,148,1
1,150,4
1,157,1
1,166,1
1,170,1
1,174,3
1,177,1
1,179,3
1,180,2
1,183,6
1,184,2
1,185,1
1,192,3
1,196,1
1,197,1
2,7,1
2,8,6
2,11,1
2,14,7
2,21,2
2,22,1
2,23,8
2,27,1
2,28,1
2,29,1
2,31,1
2,32,2
2,33,4
2,35,1
2,39,2
2,44,1
2,46,1
2,51,2
2,52,3
2,55,1
2,56,8
2,59,1
2,62,4
2,67,2
2,68,5
2,72,17
2,76,2
2,77,4
2,80,4
2,81,2
2,86,1
2,88,2
2,89,5
2,91,1
2,92,1
2,95,3
2,96,1
2,102,1
2,105,2
2,107,5
2,108,3
2,111,1
2,114,1
2,116,1
2,118,2
2,123,6
2,124,1
2,131,1
2,136,7
2,137,2
2,139,1
2,140,3
2,143,1
2,145,2
2,148,4
2,149,3
2,151,1
2,154,1
2,157,4
2,161,2
2,162,2
2,163,5
2,168,2
2,174,3
2,175,2
2,176,1
2,177,7
2,178,1
2,179,2
2,182,1
2,185,1
2,186,1
2,189,1
2,194,6
2,196,1
2,198,3
3,6,3
3,8,3
3,10,1
3,13,9
3,15,1
3,16,7
3,18,3
3,22,1
3,23,6
3,26,45
3,30,5
3,31,4
3,32,46
3,38,2
3,40,1
3,41,26
3,42,13
3,43,4
3,45,1
3,46,1
3,47,6
3,51,5
3,53,1
3,59,24
3,63,3
3,65,1
3,67,1
3,68,2
3,69,1
3,71,2
3,77,4
3,80,6
3,85,1
3,88,1
3,92,1
3,93,17
3,94,29
3,95,1
3,96,1
3,98,2
3,99,1
3,102,2
3,103,3
3,106,1
3,110,4
3,112,4
3,113,1
3,114,10
3,117,1
3,118,2
3,119,1
3,120,36
3,121,2
3,122,2
3,123,4
3,125,1
3,126,3
3,127,2
3,129,1
3,132,1
3,133,1
3,135,1
3,136,16
3,137,1
3,139,1
3,140,4
3,141,5
3,146,4
3,147,1
3,152,3
3,154,1
3,155,1
3,156,8
3,162,5
3,165,4
3,168,1
3,172,2
3,174,2
3,176,4
3,179,2
3,185,1
3,187,1
3,188,1
3,190,1
3,191,3
3,192,1
3,194,6
3,196,3
3,197,9
3,198,2
3,199,1
4,5,3
4,8,5
4,9,1
4,11,13
4,12,1
4,14,1
4,16,3
4,18,2
4,20,2
4,23,2
4,24,1
4,25,5
4,26,2
4,30,7
4,32,1
4,35,3
4,36,13
4,37,1
4,38,35
4,40,9
4,43,8
4,44,9
4,47,1
4,49,3
4,52,23
4,54,10
4,57,2
4,58,1
4,59,8
4,61,2
4,65,1
4,66,1
4,68,1
4,69,3
4,72,1
4,74,1
4,75,1
4,76,1
4,77,2
4,78,4
4,79,4
4,80,1
4,81,20
4,87,6
4,88,2
4,89,2
4,91,1
4,93,1
4,95,4
4,97,1
4,99,7
4,101,5
4,102,2
4,103,2
4,108,1
4,109,1
4,114,3
4,119,2
4,122,4
4,123,2
4,124,7
4,125,1
4,126,4
4,130,1
4,131,3
4,133,3
4,135,4
4,136,36
4,137,1
4,138,6
4,139,2
4,140,5
4,141,1
4,143,3
4,144,2
4,147,2
4,148,3
4,149,7
4,150,5
4,151,2
4,152,5
4,154,1
4,157,2
4,158,1
4,162,1
4,163,2
4,165,1
4,166,1
4,167,2
4,169,4
4,174,7
4,175,4
4,178,2
4,180,1
4,183,1
4,185,1
4,186,1
4,187,1
4,188,1
4,189,1
4,192,1
4,193,1
4,196,4
4,197,7
4,198,2
4,199,1
5,11,3
5,13,1
5,20,1
5,23,1
5,38,6
5,51,1
5,52,8
5,56,1
5,59,1
5,68,1
5,72,2
5,82,1
5,89,3
5,103,1
5,107,2
5,123,3
5,124,2
5,130,3
5,131,1
5,134,1
5,138,2
5,142,1
5,150,1
5,151,1
5,169,1
5,172,1
5,174,1
5,178,1
5,183,1
5,193,1
5,197,1
6,15,1
6,16,1
6,20,1
6,23,2
6,25,1
6,30,3
6,31,3
6,32,1
6,35,1
6,40,2
6,43,1
6,56,1
6,59,1
6,66,2
6,75,1
6,81,1
6,86,2
6,98,1
6,100,1
6,102,1
6,105,2
6,114,7
6,118,1
6,124,2
6,133,1
6,136,3
6,140,1
6,141,1
6,148,1
6,149,1
6,152,1
6,154,1
6,157,1
6,158,1
6,161,1
6,169,3
6,175,1
6,180,1
6,181,1
6,188,3
6,192,1
6,196,1
6,197,8
7,8,14
7,13,2
7,17,11
7,18,3
7,19,4
7,20,1
7,23,6
7,24,3
7,25,1
7,29,1
7,30,1
7,31,1
7,33,8
7,39,3
7,45,5
7,48,1
7,52,4
7,53,1
7,55,2
7,56,10
7,63,1
7,64,1
7,67,2
7,68,2
7,69,1
7,71,1
7,80,5
7,92,1
7,95,1
7,96,1
7,97,5
7,98,10
7,100,18
7,104,9
7,106,1
7,107,2
7,108,23
7,109,1
7,112,3
7,114,1
7,117,5
7,124,1
7,131,17
7,132,1
7,134,1
7,136,3
7,137,7
7,140,1
7,142,1
7,145,3
7,150,1
7,152,13
7,153,1
7,156,1
7,157,1
7,158,1
7,163,13
7,167,9
7,168,1
7,171,2
7,172,2
7,173,4
7,174,12
7,177,3
7,180,1
7,182,28
7,186,2
7,187,1
7,199,1
8,9,1
8,10,11
8,11,7
8,12,4
8,13,15
8,14,26
8,15,2
8,16,3
8,17,20
8,18,5
8,19,1
8,20,3
8,21,10
8,22,1
8,23,10
8,24,16
8,25,14
8,26,4
8,27,4
8,28,5
8,29,2
8,30,2
8,31,41
8,32,5
8,33,6
8,34,6
8,35,5
8,36,6
8,37,5
8,38,10
8,39,9
8,40,9
8,41,9
8,42,2
8,43,7
8,44,4
8,45,25
8,46,8
8,47,6
8,48,4
8,49,1
8,50,4
8,51,10
8,52,12
8,53,6
8,54,1
8,55,10
8,56,16
8,57,3
8,58,1
8,59,11
8,62,6
8,63,1
8,64,6
8,66,3
8,67,17
8,68,3
8,69,2
8,70,2
8,71,3
8,72,17
8,73,2
8,74,9
8,75,10
8,76,4
8,77,4
8,78,5
8,79,2
8,80,10
8,81,11
8,82,3
8,83,7
8,84,2
8,85,2
8,86,1
8,88,5
8,89,19
8,90,4
8,91,13
8,92,1
8,95,4
8,96,10
8,98,9
8,99,3
8,100,9
8,102,8
8,103,2
8,104,11
8,105,3
8,106,15
8,107,6
8,108,8
8,110,3
8,111,6
8,112,9
8,113,4
8,114,2
8,115,7
8,117,3
8,118,10
8,119,5
8,120,1
8,121,2
8,122,4
8,123,28
8,124,1
8,125,11
8,127,6
8,129,17
8,130,6
8,131,34
8,132,19
8,133,2
8,134,11
8,135,2
8,136,38
8,137,13
8,139,2
8,140,6
8,141,1
8,142,16
8,143,6
8,145,30
8,147,1
8,148,4
8,149,2
8,150,13
8,151,2
8,152,60
8,153,14
8,154,1
8,155,15
8,157,31
8,159,1
8,160,9
8,161,3
8,162,6
8,163,14
8,164,9
8,165,6
8,166,2
8,167,8
8,168,16
8,169,4
8,170,16
8,171,12
8,172,9
8,173,7
8,174,12
8,175,33
8,177,14
8,178,5
8,179,6
8,180,4
8,181,4
8,182,19
8,183,7
8,184,8
8,185,2
8,186,5
8,187,3
8,188,15
8,189,1
8,190,2
8,191,2
8,192,5
8,194,8
8,196,6
8,197,7
8,198,4
8,199,4
9,11,1
9,18,2
9,25,1
9,31,1
9,38,1
9,56,3
9,67,1
9,72,2
9,78,1
9,80,1
9,81,2
9,89,1
9,100,1
9,102,1
9,132,1
9,136,2
