topic_id_x,topic_id_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,1,,,,,3.0,4.0,2.0,2.0,2.0,7.0,1.0
0,3,,1.0,,,1.0,,1.0,1.0,1.0,,
0,4,3.0,4.0,8.0,2.0,2.0,10.0,4.0,15.0,16.0,13.0,7.0
0,5,,,,,,1.0,,,,1.0,
0,6,,,,2.0,,,,,,1.0,
0,8,1.0,,,1.0,2.0,2.0,2.0,,1.0,,2.0
0,10,,,,1.0,1.0,2.0,,2.0,4.0,,2.0
0,11,,,,,,,,,,,1.0
0,13,,,,,,,,,1.0,1.0,3.0
0,14,,,,,,,,,1.0,,
0,15,,1.0,,1.0,,,,,,,
0,16,,,,1.0,,,2.0,4.0,2.0,3.0,1.0
0,18,,,1.0,,1.0,,1.0,,,3.0,
0,19,,,,,,,,,,,1.0
0,20,,,,,,,,,1.0,1.0,
0,21,,,,,1.0,,,,,,
0,22,,,,,,,1.0,,,1.0,
0,23,,,1.0,3.0,,3.0,2.0,5.0,4.0,6.0,2.0
0,24,,,,,,,,,,1.0,
0,25,,,,1.0,2.0,4.0,7.0,6.0,19.0,15.0,10.0
0,26,,,1.0,1.0,2.0,3.0,,,1.0,1.0,
0,27,,,1.0,,,,,1.0,2.0,2.0,1.0
0,30,,1.0,,,1.0,3.0,2.0,3.0,10.0,7.0,9.0
0,31,1.0,,1.0,,2.0,7.0,2.0,8.0,4.0,9.0,3.0
0,32,,,,,,1.0,,,,,
0,33,,,,,,,,,1.0,,
0,36,1.0,,3.0,3.0,1.0,,1.0,3.0,1.0,2.0,1.0
0,38,2.0,3.0,5.0,1.0,7.0,10.0,16.0,15.0,30.0,35.0,18.0
0,40,1.0,,3.0,1.0,3.0,2.0,1.0,6.0,4.0,1.0,2.0
0,41,,,1.0,1.0,2.0,,2.0,1.0,6.0,5.0,3.0
0,42,,,1.0,,,,,1.0,1.0,,
0,43,,,,,,1.0,,1.0,,2.0,
0,44,,,1.0,1.0,,1.0,1.0,,1.0,5.0,2.0
0,45,,,,,1.0,,,,,,
0,47,,,,,,1.0,,,,,
0,50,,1.0,,,1.0,,,2.0,,1.0,
0,51,,,,,,1.0,,1.0,2.0,,1.0
0,52,2.0,,,,1.0,5.0,5.0,3.0,5.0,3.0,3.0
0,53,,,,,,1.0,,,,,
0,54,,,,,2.0,2.0,,,1.0,3.0,3.0
0,56,,,1.0,,,,,1.0,,,
0,57,,,,,,,,1.0,,,
0,58,,1.0,,1.0,,2.0,,1.0,2.0,3.0,
0,59,,,,,3.0,,,,,3.0,3.0
0,61,,,,,,,,,,1.0,
0,62,,,,,,,,,1.0,1.0,
0,63,,,,,,,1.0,,1.0,2.0,1.0
0,66,,,,,1.0,,,,,,1.0
0,69,,2.0,1.0,,1.0,1.0,,1.0,3.0,1.0,2.0
0,72,1.0,1.0,1.0,,,,1.0,1.0,1.0,,
0,73,,1.0,,1.0,1.0,3.0,,,,,1.0
0,74,,,,,1.0,,,,,,
0,75,,,,,,1.0,,,,1.0,
0,76,,,,,,1.0,,,,1.0,
0,77,,,,,,,1.0,1.0,,,2.0
0,78,,,3.0,1.0,,2.0,,,1.0,,
0,79,,,1.0,,,2.0,1.0,1.0,4.0,3.0,1.0
0,80,,,,,1.0,4.0,1.0,2.0,1.0,1.0,
0,81,1.0,,2.0,1.0,,2.0,,3.0,1.0,5.0,
0,82,,,,1.0,2.0,1.0,,3.0,1.0,3.0,1.0
0,83,,,,,,1.0,,,,,
0,84,,,1.0,,1.0,,,1.0,,1.0,
0,86,,,,,,,,,2.0,,
0,87,3.0,1.0,7.0,9.0,1.0,7.0,11.0,4.0,6.0,17.0,7.0
0,88,,,,,1.0,1.0,,,,1.0,1.0
0,89,,1.0,,,,,,,,,
0,90,,,,,,,,,,,1.0
0,91,,,,,,,,,,1.0,
0,92,,,,,,,,,,,1.0
0,93,,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,
0,94,,1.0,,1.0,3.0,1.0,1.0,1.0,3.0,6.0,6.0
0,95,,,2.0,,4.0,4.0,1.0,4.0,5.0,4.0,3.0
0,98,,,,,,,,,1.0,,1.0
0,100,,,,,1.0,1.0,,,,2.0,1.0
0,101,,,,,,,,,,1.0,
0,102,1.0,,,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0
0,103,,,,,,,,,1.0,,
0,104,,,,,,,,,1.0,,
0,105,,,,,,,,1.0,,1.0,
0,107,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0
0,108,,,,,,,,,,1.0,
0,109,,,,,,1.0,,,3.0,,
0,110,,,,,,,,1.0,,,
0,112,,,,,,1.0,,2.0,,,
0,113,,,,,,,,,1.0,1.0,
0,114,,1.0,2.0,1.0,4.0,3.0,3.0,3.0,7.0,11.0,2.0
0,115,,,,,,1.0,,2.0,,,
0,118,,,,1.0,,,1.0,1.0,,2.0,2.0
0,119,1.0,,,,,2.0,1.0,,,,
0,120,,1.0,1.0,1.0,,3.0,3.0,1.0,3.0,3.0,
0,121,,,,,,,,,,,1.0
