,topic_id_x,topic_id_y
7915,45,132
7916,132,45
10695,142,160
10696,160,142
10972,31,129
10973,129,31
16937,46,142
16938,142,46
18824,80,142
18825,142,80
20165,72,131
20166,131,72
21815,74,160
21816,160,74
22042,80,132
22043,132,80
22066,31,155
22067,155,31
28860,74,132
28861,132,74
30264,108,163
30265,163,108
51518,124,133
51519,133,124
56791,38,100
56792,100,38
63303,74,170
63304,170,74
63647,74,170
63648,170,74
64276,129,170
64277,170,129
66014,50,105
66015,105,50
80102,31,192
80103,192,31
82085,124,133
82086,133,124
89709,82,133
89710,133,82
90462,50,134
90463,134,50
90532,82,133
90533,133,82
90583,82,133
90584,133,82
92349,31,192
92350,192,31
114502,31,165
114503,165,31
115585,3,16
115586,16,3
124237,45,90
124238,90,45
125366,31,115
125367,115,31
128907,31,160
128908,160,31
130334,37,45
130335,45,37
131275,31,115
131276,115,31
133608,80,160
133609,160,80
134545,80,160
134546,160,80
138207,31,171
138208,171,31
138689,31,171
138690,171,31
140097,74,106
140098,106,74
141237,45,90
141238,90,45
146350,128,190
146351,190,128
147521,31,127
147522,127,31
156857,12,31
156858,31,12
157549,74,160
157550,160,74
161647,12,31
161648,31,12
164554,31,129
164555,129,31
164635,45,74
164636,74,45
164898,53,80
164899,80,53
174189,68,128
174190,128,68
175374,31,127
175375,127,31
181616,128,170
181617,170,128
184144,31,180
184145,180,31
188633,28,31
188634,31,28
188996,28,31
188997,31,28
189619,28,31
189620,31,28
189740,31,127
189741,127,31
191282,127,155
191283,155,127
192607,17,132
192608,132,17
199358,45,132
199359,132,45
199804,21,55
199805,55,21
200015,68,118
200016,118,68
203273,4,5
203274,5,4
204110,55,118
204111,118,55
207553,100,152
207554,152,100
211388,56,177
211389,177,56
219229,56,157
219230,157,56
223690,95,198
223691,198,95
230541,56,163
230542,163,56
239441,98,100
239442,100,98
243795,189,198
243796,198,189
244227,56,67
244228,67,56
253752,55,70
253753,70,55
257276,55,153
257277,153,55
267349,21,55
267350,55,21
279663,55,153
279664,153,55
293239,68,118
293240,118,68
295485,55,153
295486,153,55
298126,55,118
298127,118,55
302435,31,192
302436,192,31
312249,26,95
312250,95,26
312288,59,95
312289,95,59
325932,98,100
325933,100,98
331824,25,152
331825,152,25
350900,56,157
350901,157,56
425827,26,94
425828,94,26
428363,26,94
428364,94,26
430177,3,93
430178,93,3
432015,15,26
432016,26,15
438239,3,26
438240,26,3
462224,31,165
462225,165,31
469199,3,94
469200,94,3
475455,26,120
475456,120,26
482751,26,94
482752,94,26
496473,105,197
496474,197,105
501074,38,196
501075,196,38
504963,158,197
504964,197,158
521279,181,190
521280,190,181
539830,25,38
539831,38,25
573339,40,152
573340,152,40
585092,74,160
585093,160,74
589676,38,191
589677,191,38
594484,74,160
594485,160,74
595906,31,102
595907,102,31
615176,31,50
615177,50,31
619284,32,110
619285,110,32
633535,26,94
633536,94,26
634036,26,120
634037,120,26
638339,130,157
638340,157,130
